# U_eb[V]	ln(I_k)	I_k[A]
0.3	-8.9872	0.000125
0.31	-8.65072	0.000175
0.32	-7.98167	0.000341667
0.33	-7.37776	0.000625
0.34	-6.8049	0.00110833
0.35	-6.50786	0.00149167
0.36	-6.00151	0.002475
0.37	-5.70378	0.00333333
0.38	-5.32364	0.004875
0.39	-5.10083	0.00609167
0.4	-4.70683	0.00903333
0.41	-4.52436	0.0108417
0.42	-4.31811	0.013325
0.43	-4.19361	0.0150917
0.44	-4.03466	0.0176917
0.45	-3.90042	0.0202333
